aAcc,mIoU,mAcc,data_time,time,step
82.92,46.98,57.11,0.00153658390045166,1.1312172651290893,400.0
84.8,49.33,55.63,0.001796412467956543,0.25406641960144044,800.0
92.37,62.66,67.45,0.0016173124313354492,0.2550487995147705,1200.0
91.04,60.11,66.68,0.0017277002334594727,0.25339295864105227,1600.0
95.43,66.45,70.84,0.001796412467956543,0.2523141384124756,2000.0
93.93,64.51,70.16,0.001536107063293457,0.25314667224884035,2400.0
96.29,74.25,78.78,0.001607656478881836,0.2571631669998169,2800.0
93.71,73.02,80.27,0.0016242742538452148,0.2588446855545044,3200.0
92.52,73.4,82.27,0.0015949726104736329,0.25332252979278563,3600.0
89.25,67.13,78.2,0.0017726898193359375,0.27261924743652344,4000.0
85.41,60.63,67.82,0.0017314910888671874,0.25438404083251953,4400.0
86.81,56.65,66.22,0.0015193700790405273,0.253385329246521,4800.0
86.71,66.42,73.86,0.0017248868942260742,0.2534604072570801,5200.0
89.5,65.5,76.04,0.0014973163604736328,0.26522729396820066,5600.0
93.56,71.82,79.06,0.001944756507873535,0.25285725593566893,6000.0
83.06,63.48,73.31,0.0016846656799316406,0.2547936201095581,6400.0
83.66,60.18,72.43,0.0016029596328735352,0.2542653322219849,6800.0
86.25,65.51,74.41,0.001502084732055664,0.2716445684432983,7200.0
94.27,77.26,86.77,0.0015673637390136719,0.26581382751464844,7600.0
